Marque,Modele,Annee_modele,Km,Date_premiere_mise_en_circulation,Carburant,Boite_vitesse,Puissance,Critere_air,Couleur,Type_vehicule,Pays,Prix_neuf,Prix_occasion
Mercedes,Classe E,2014,129956,2014-01-21,Gaz,Manuelle,90,Euro 4,Rouge,Monospace,Japon,75000,44892.0
Mercedes,Classe E,2016,249866,2016-07-10,Hybride,Manuelle,110,Euro 1,Rouge,Berline,Italie,75000,41132.0
Mercedes,Classe E,2015,193598,2015-06-14,Diesel,Automatique,150,Euro 5,Gris,Break,USA,75000,42390.0
Mercedes,Classe E,2013,59780,2016-01-07,Gaz,Automatique,150,Euro 4,Rouge,Berline,Espagne,75000,49600.0
Mercedes,Classe E,2014,248175,2014-06-29,Diesel,Manuelle,90,Euro 4,Blanc,Break,France,75000,34914.0
Mercedes,Classe E,2016,101775,2018-11-12,Hybride,Automatique,150,Euro 1,Noir,Berline,Japon,75000,53790.0
Mercedes,Classe E,2016,217883,2017-11-26,Hybride,Manuelle,150,Euro 1,Blanc,Monospace,Italie,75000,43725.0
Mercedes,Classe E,2016,202142,2019-04-14,Hybride,Manuelle,150,Euro 1,Rouge,Monospace,Japon,75000,44520.0
Mercedes,Classe E,2016,225503,2019-05-25,Essence,Manuelle,90,Euro 5,Noir,Berline,Japon,75000,40446.0
Mercedes,Classe E,2013,185075,2014-05-16,Hybride,Manuelle,200,Euro 1,Blanc,SUV,USA,75000,39200.0
Mercedes,Classe E,2016,102236,2016-02-04,Diesel,Manuelle,200,Euro 5,Gris,Crossover,USA,75000,50820.0
Mercedes,Classe E,2013,82896,2013-04-07,Hybride,Manuelle,150,Euro 1,Gris,Crossover,Italie,75000,46905.0
Mercedes,Classe E,2014,124506,2015-09-23,Diesel,Manuelle,110,Euro 4,Blanc,SUV,Espagne,75000,44138.0
Mercedes,Classe E,2014,58518,2015-03-24,Gaz,Automatique,90,Euro 4,Bleu,Crossover,Allemagne,75000,51610.0
Mercedes,Classe E,2015,34675,2018-10-09,Hybride,Automatique,150,Euro 1,Bleu,Monospace,France,75000,57050.0
Mercedes,Classe E,2014,183963,2014-09-15,Essence,Automatique,110,Euro 4,Rouge,Berline,France,75000,40092.0
Mercedes,Classe E,2013,144620,2016-04-28,Diesel,Manuelle,90,Euro 4,Rouge,Crossover,Italie,75000,40227.0
Mercedes,Classe E,2016,45772,2017-02-16,Essence,Manuelle,110,Euro 5,Bleu,Berline,France,75000,54072.0
Mercedes,Classe E,2014,129994,2017-07-06,Diesel,Manuelle,130,Euro 4,Bleu,SUV,Italie,75000,44254.0
Mercedes,Classe E,2016,76970,2019-07-19,Essence,Manuelle,130,Euro 5,Noir,Berline,Allemagne,75000,51957.0
Mercedes,Classe E,2013,36451,2014-07-07,Essence,Manuelle,90,Euro 4,Blanc,Break,USA,75000,47936.0
Mercedes,Classe E,2016,100078,2016-09-26,Hybride,Automatique,90,Euro 1,Rouge,Break,Allemagne,75000,53394.0
